instance,method,seed,k,feasible,conflicts,weighted_conflicts,iterations,breakouts,restarts,time_seconds
myciel3.col,AHGC_BreakoutTabu,0,4,1,0,0,0,0,0,0.000050
myciel3.col,AHGC_BreakoutTabu,10007,4,1,0,0,0,0,0,0.000059
myciel3.col,AHGC_BreakoutTabu,20014,4,1,0,0,0,0,0,0.000056
myciel3.col,AHGC_BreakoutTabu,30021,4,1,0,0,0,0,0,0.000065
myciel3.col,AHGC_BreakoutTabu,40028,4,1,0,0,0,0,0,0.000046
myciel4.col,AHGC_BreakoutTabu,0,5,1,0,0,0,0,0,0.000096
myciel4.col,AHGC_BreakoutTabu,10007,5,1,0,0,0,0,0,0.000094
myciel4.col,AHGC_BreakoutTabu,20014,5,1,0,0,0,0,0,0.000129
myciel4.col,AHGC_BreakoutTabu,30021,5,1,0,0,0,0,0,0.000095
myciel4.col,AHGC_BreakoutTabu,40028,5,1,0,0,0,0,0,0.000101
queen5_5.col,AHGC_BreakoutTabu,0,5,1,0,0,0,0,0,0.000092
queen5_5.col,AHGC_BreakoutTabu,10007,5,1,0,0,0,0,0,0.000158
queen5_5.col,AHGC_BreakoutTabu,20014,5,1,0,0,0,0,0,0.000159
queen5_5.col,AHGC_BreakoutTabu,30021,5,1,0,0,0,0,0,0.000245
queen5_5.col,AHGC_BreakoutTabu,40028,5,1,0,0,0,0,0,0.000211
queen7_7.col,AHGC_BreakoutTabu,0,7,1,0,0,495,0,0,0.336806
queen7_7.col,AHGC_BreakoutTabu,10007,7,1,0,0,402,0,0,0.268264
queen7_7.col,AHGC_BreakoutTabu,20014,7,1,0,0,1226,0,0,0.986679
queen7_7.col,AHGC_BreakoutTabu,30021,7,1,0,0,319,0,0,0.336451
queen7_7.col,AHGC_BreakoutTabu,40028,7,1,0,0,497,0,0,0.517060
miles1500.col,AHGC_BreakoutTabu,0,73,1,0,0,0,0,0,0.004611
miles1500.col,AHGC_BreakoutTabu,10007,73,1,0,0,0,0,0,0.003834
miles1500.col,AHGC_BreakoutTabu,20014,73,1,0,0,0,0,0,0.005674
miles1500.col,AHGC_BreakoutTabu,30021,73,1,0,0,0,0,0,0.005196
miles1500.col,AHGC_BreakoutTabu,40028,73,1,0,0,0,0,0,0.002541
fpsol2.i.1.col,AHGC_BreakoutTabu,0,65,1,0,0,0,0,0,0.009601
fpsol2.i.1.col,AHGC_BreakoutTabu,10007,65,1,0,0,0,0,0,0.009565
fpsol2.i.1.col,AHGC_BreakoutTabu,20014,65,1,0,0,0,0,0,0.004930
fpsol2.i.1.col,AHGC_BreakoutTabu,30021,65,1,0,0,0,0,0,0.005766
fpsol2.i.1.col,AHGC_BreakoutTabu,40028,65,1,0,0,0,0,0,0.004927
inithx.i.1.col,AHGC_BreakoutTabu,0,54,1,0,0,0,0,0,0.008913
inithx.i.1.col,AHGC_BreakoutTabu,10007,54,1,0,0,0,0,0,0.008091
inithx.i.1.col,AHGC_BreakoutTabu,20014,54,1,0,0,0,0,0,0.007546
inithx.i.1.col,AHGC_BreakoutTabu,30021,54,1,0,0,0,0,0,0.007867
inithx.i.1.col,AHGC_BreakoutTabu,40028,54,1,0,0,0,0,0,0.013895
flat300_28_0.col,AHGC_BreakoutTabu,0,28,0,49,49,3443,0,0,300.043609
flat300_28_0.col,AHGC_BreakoutTabu,10007,28,0,46,46,2845,0,0,300.034391
flat300_28_0.col,AHGC_BreakoutTabu,20014,28,0,49,49,2720,0,0,300.056482
flat300_28_0.col,AHGC_BreakoutTabu,30021,28,0,45,45,3512,0,0,300.009325
