instance,method,seed,k,feasible,uncolored,iterations,restarts,time_seconds
myciel3.col,AdvancedPartialColReactiveTabu,0,4,1,0,0,0,0.000065
myciel3.col,AdvancedPartialColReactiveTabu,10007,4,1,0,0,0,0.000124
myciel3.col,AdvancedPartialColReactiveTabu,20014,4,1,0,0,0,0.000134
myciel3.col,AdvancedPartialColReactiveTabu,30021,4,1,0,0,0,0.000115
myciel3.col,AdvancedPartialColReactiveTabu,40028,4,1,0,0,0,0.000134
myciel4.col,AdvancedPartialColReactiveTabu,0,5,1,0,0,0,0.000387
myciel4.col,AdvancedPartialColReactiveTabu,10007,5,1,0,0,0,0.000259
myciel4.col,AdvancedPartialColReactiveTabu,20014,5,1,0,0,0,0.000244
myciel4.col,AdvancedPartialColReactiveTabu,30021,5,1,0,0,0,0.000196
myciel4.col,AdvancedPartialColReactiveTabu,40028,5,1,0,0,0,0.000203
queen5_5.col,AdvancedPartialColReactiveTabu,0,5,1,0,0,0,0.000140
queen5_5.col,AdvancedPartialColReactiveTabu,10007,5,1,0,0,0,0.000139
queen5_5.col,AdvancedPartialColReactiveTabu,20014,5,1,0,0,0,0.000343
queen5_5.col,AdvancedPartialColReactiveTabu,30021,5,1,0,0,0,0.000281
queen5_5.col,AdvancedPartialColReactiveTabu,40028,5,1,0,0,0,0.000319
queen7_7.col,AdvancedPartialColReactiveTabu,0,7,1,0,1057,0,0.147844
queen7_7.col,AdvancedPartialColReactiveTabu,10007,7,1,0,271,0,0.034866
queen7_7.col,AdvancedPartialColReactiveTabu,20014,7,1,0,429,0,0.050949
queen7_7.col,AdvancedPartialColReactiveTabu,30021,7,1,0,623,0,0.072763
queen7_7.col,AdvancedPartialColReactiveTabu,40028,7,1,0,228,0,0.026426
miles1500.col,AdvancedPartialColReactiveTabu,0,73,1,0,0,0,0.005322
miles1500.col,AdvancedPartialColReactiveTabu,10007,73,1,0,0,0,0.003967
miles1500.col,AdvancedPartialColReactiveTabu,20014,73,1,0,0,0,0.002765
miles1500.col,AdvancedPartialColReactiveTabu,30021,73,1,0,0,0,0.003141
miles1500.col,AdvancedPartialColReactiveTabu,40028,73,1,0,0,0,0.006423
fpsol2.i.1.col,AdvancedPartialColReactiveTabu,0,65,1,0,0,0,0.007736
fpsol2.i.1.col,AdvancedPartialColReactiveTabu,10007,65,1,0,0,0,0.007209
fpsol2.i.1.col,AdvancedPartialColReactiveTabu,20014,65,1,0,0,0,0.006775
fpsol2.i.1.col,AdvancedPartialColReactiveTabu,30021,65,1,0,0,0,0.008055
fpsol2.i.1.col,AdvancedPartialColReactiveTabu,40028,65,1,0,0,0,0.006670
inithx.i.1.col,AdvancedPartialColReactiveTabu,0,54,1,0,0,0,0.011070
inithx.i.1.col,AdvancedPartialColReactiveTabu,10007,54,1,0,0,0,0.010851
inithx.i.1.col,AdvancedPartialColReactiveTabu,20014,54,1,0,0,0,0.010882
inithx.i.1.col,AdvancedPartialColReactiveTabu,30021,54,1,0,0,0,0.017440
inithx.i.1.col,AdvancedPartialColReactiveTabu,40028,54,1,0,0,0,0.010821
flat300_28_0.col,AdvancedPartialColReactiveTabu,0,28,0,32,163468,1,300.001310
flat300_28_0.col,AdvancedPartialColReactiveTabu,10007,28,0,31,175624,1,300.000310
flat300_28_0.col,AdvancedPartialColReactiveTabu,20014,28,0,27,193807,1,300.000220
flat300_28_0.col,AdvancedPartialColReactiveTabu,30021,28,0,28,198236,1,300.000349
flat300_28_0.col,AdvancedPartialColReactiveTabu,40028,28,0,31,189237,1,300.000756
le450_5a.col,AdvancedPartialColReactiveTabu,0,5,1,0,19318,0,4.969963
le450_5a.col,AdvancedPartialColReactiveTabu,10007,5,1,0,6995,0,1.914511
le450_5a.col,AdvancedPartialColReactiveTabu,20014,5,1,0,2493,0,1.224432
le450_5a.col,AdvancedPartialColReactiveTabu,30021,5,1,0,21637,0,5.197868
le450_5a.col,AdvancedPartialColReactiveTabu,40028,5,1,0,8534,0,2.185336
DSJC125.9.col,AdvancedPartialColReactiveTabu,0,44,1,0,14294,0,3.080987
DSJC125.9.col,AdvancedPartialColReactiveTabu,10007,44,1,0,440,0,0.159658
DSJC125.9.col,AdvancedPartialColReactiveTabu,20014,44,1,0,15168,0,3.449423
DSJC125.9.col,AdvancedPartialColReactiveTabu,30021,44,1,0,6461,0,1.468831
DSJC125.9.col,AdvancedPartialColReactiveTabu,40028,44,1,0,387,0,0.118057
DSJC500.1.col,AdvancedPartialColReactiveTabu,0,12,0,21,398930,1,300.000408
DSJC500.1.col,AdvancedPartialColReactiveTabu,10007,12,0,17,376442,1,300.000857
DSJC500.1.col,AdvancedPartialColReactiveTabu,20014,12,0,21,327260,1,300.000039
DSJC500.1.col,AdvancedPartialColReactiveTabu,30021,12,0,19,326640,1,300.001046
DSJC500.1.col,AdvancedPartialColReactiveTabu,40028,12,0,19,382238,1,300.000849
DSJC500.5.col,AdvancedPartialColReactiveTabu,0,48,0,29,174196,1,600.000385
DSJC500.5.col,AdvancedPartialColReactiveTabu,10007,48,0,26,233278,1,600.001090
DSJC500.5.col,AdvancedPartialColReactiveTabu,20014,48,0,26,213373,1,600.002165
DSJC500.5.col,AdvancedPartialColReactiveTabu,30021,48,0,25,231028,1,600.001956
DSJC500.5.col,AdvancedPartialColReactiveTabu,40028,48,0,26,227324,1,600.001675
DSJC500.9.col,AdvancedPartialColReactiveTabu,0,126,0,13,145411,1,600.003345
DSJC500.9.col,AdvancedPartialColReactiveTabu,10007,126,0,12,142718,1,600.002788
DSJC500.9.col,AdvancedPartialColReactiveTabu,20014,126,0,15,132528,1,600.001628
DSJC500.9.col,AdvancedPartialColReactiveTabu,30021,126,0,13,135072,1,600.000334
DSJC500.9.col,AdvancedPartialColReactiveTabu,40028,126,0,15,136015,1,600.002381
DSJC1000.9.col,AdvancedPartialColReactiveTabu,0,223,0,55,36786,1,900.014601
DSJC1000.9.col,AdvancedPartialColReactiveTabu,10007,223,0,59,34623,1,900.016064
DSJC1000.9.col,AdvancedPartialColReactiveTabu,20014,223,0,55,36444,1,900.013007
DSJC1000.9.col,AdvancedPartialColReactiveTabu,30021,223,0,57,33303,1,900.012404
DSJC1000.9.col,AdvancedPartialColReactiveTabu,40028,223,0,57,36555,1,900.000567
